"Journal Report 1 (R2)","Number of Successful Article Requests by Month and Journal","","","","","","","","","","","","","","","","","",""
"University of Fishwick","","","","","","","","","","","","","","","","","","",""
"Date run:","","","","","","","","","","","","","","","","","","",""
"2008-06-30","","","","","","","","","","","","","","","","","","",""
"","Publisher","Platform","Print ISSN","Online ISSN","Jan-2006","Feb-2006","Mar-2006","Apr-2006","May-2006","Jun-2006","Jul-2006","Aug-2006","Sep-2006","Oct-2006","Nov-2006","Dec-2006","YTD Total","YTD HTML","YTD PDF"
"Social Problems","University of California Press","JSTOR","0037-7791","","9","65","59","30","39","9","0","1","3","22","71","18","326","219","99"
"Social Psychology Quarterly","American Sociological Association","JSTOR","0190-2725","","3","18","8","5","11","0","0","3","140","16","11","13","228","165","63"
"Social Science History","Social Science History Association","JSTOR","0145-5532","1527-8034","0","16","9","5","11","1","8","5","0","2","7","8","72","57","13"
"Social Scientist","Social Scientist","JSTOR","0970-0293","","0","0","0","0","0","0","0","0","1","33","25","6","65","56","8"
"Social Studies of Science","Sage Publications","JSTOR","0306-3127","","2","1","0","9","21","8","6","0","2","19","16","0","84","63","21"
"Social Text","Duke University Press","JSTOR","0164-2472","1527-1951","7","1","44","18","29","3","4","1","5","15","125","45","297","214","80"
"Sociological Forum","Springer Science + Business Media","JSTOR","0884-8971","","2","1","3","20","10","2","3","0","7","12","12","9","81","64","17"
"Sociological Methodology","American Sociological Association","JSTOR","0081-1750","","0","0","3","0","0","0","0","13","0","0","0","0","16","10","6"
"Sociological Perspectives","University of California Press","JSTOR","0731-1214","","0","17","7","33","19","1","2","2","11","19","19","20","150","105","40"
"Sociological Theory","American Sociological Association","JSTOR","0735-2751","","1","2","0","3","62","0","0","6","5","14","10","43","146","102","41"
"Sociology of Education","American Sociological Association","JSTOR","0038-0407","","2","31","20","37","39","0","0","0","6","64","31","45","275","227","47"
"South Atlantic Review","South Atlantic Modern Language Association","JSTOR","0277-335X","","3","33","5","21","40","1","5","3","2","31","42","22","208","184","23"
"South Central Review","The Johns Hopkins University Press","JSTOR","0743-6831","","3","8","6","19","58","2","0","0","5","29","52","17","199","169","25"
"Southern Economic Journal","Southern Economic Association","JSTOR","0038-4038","","0","6","11","20","5","1","3","0","5","31","7","6","95","78","15"
"Speculum","Medieval Academy of America","JSTOR","0038-7134","","7","21","35","61","44","8","3","11","15","53","37","42","337","277","57"
"Stanford Law Review","Stanford Law Review","JSTOR","0038-9765","","2","6","3","24","19","6","2","1","1","20","34","15","133","105","26"
"Statistical Science","Institute of Mathematical Statistics","JSTOR","0883-4237","","0","2","0","0","0","0","0","0","0","0","1","0","3","3","0"
"Statistician","Royal Statistical Society","JSTOR","0039-0526","","0","4","0","1","0","0","3","0","0","0","3","2","13","10","3"
"Strategic Management Journal","John Wiley &amp; Sons","JSTOR","0143-2095","","7","3","2","2","6","2","0","0","0","2","0","1","25","21","4"
"Studia Islamica","Maisonneuve &amp; Larose","JSTOR","0585-5292","","0","3","0","1","1","0","0","0","0","0","2","3","10","9","1"
"Studia Musicologica Academiae Scientiarum Hungaricae","Akad&#xe9;miai Kiad&#xf3;","JSTOR","0039-3266","","0","0","1","0","0","0","0","2","0","2","3","5","13","12","1"
"Studies in Art Education","National Art Education Association","JSTOR","0039-3541","","0","2","4","7","1","0","0","1","0","4","2","2","23","20","3"
"Studies in Conservation","International Institute for Conservation of Historic and Artistic Works","JSTOR","0039-3630","","0","3","0","0","4","0","0","0","0","1","5","3","16","12","4"
"Studies in English Literature, 1500-1900","Rice University","JSTOR","0039-3657","1522-9270","6","43","13","35","69","1","18","11","22","27","210","104","559","439","113"
"Studies in Family Planning","Population Council","JSTOR","0039-3665","","0","23","8","20","5","0","0","4","9","4","16","7","96","67","29"
"Studies in the Renaissance","Renaissance Society of America","JSTOR","0081-8658","","0","0","0","0","0","1","0","1","0","1","2","5","10","9","1"
"Supreme Court Economic Review","University of Chicago Press","JSTOR","0736-9921","","0","0","3","4","0","0","0","0","0","0","0","1","8","8","0"
"Supreme Court Review","University of Chicago Press","JSTOR","0081-9557","","0","0","0","0","4","0","0","0","0","1","2","4","11","8","3"
"Systematic Biology","Taylor &amp; Francis, Ltd. ","JSTOR","1063-5157","","0","1","1","0","2","0","0","4","0","3","9","3","23","16","7"
"Systematic Botany","American Society of Plant Taxonomists","JSTOR","0363-6445","","0","0","1","1","0","0","0","0","0","1","0","0","3","3","0"
"Taxon","International Association for Plant Taxonomy (IAPT)","JSTOR","0040-0262","","0","0","0","5","5","1","0","2","3","3","0","1","20","16","4"
"TDR (1988-)","MIT Press","JSTOR","1054-2043","","43","20","4","21","16","8","5","1","7","15","38","21","199","160","33"
"Teaching Sociology","American Sociological Association","JSTOR","0092-055X","","0","5","10","21","8","0","0","2","15","10","31","17","119","96","23"
"Technology and Culture","Society for the History of Technology","JSTOR","0040-165X","1097-3729","0","7","4","22","42","0","3","0","0","17","9","9","113","97","15"
"Technometrics","American Statistical Association","JSTOR","0040-1706","","0","0","0","0","0","0","0","6","0","1","1","2","10","8","2"
"Tempo","Cambridge University Press","JSTOR","0040-2982","","0","2","0","0","0","1","4","1","2","6","12","36","64","56","8"
"TESOL Quarterly","Teachers of English to Speakers of Other Languages, Inc.","JSTOR","0039-8322","","0","0","0","0","0","0","0","0","0","0","13","2","15","13","2"
"Theatre Journal","The Johns Hopkins University Press","JSTOR","0192-2882","","3","15","4","30","36","8","5","2","12","9","53","32","209","190","16"
"Theory and Society","Springer Science + Business Media","JSTOR","0304-2421","","3","6","5","19","30","2","2","4","1","19","14","47","152","120","32"
"Theory into Practice","Taylor &amp; Francis, Ltd. ","JSTOR","0040-5841","","0","1","8","39","8","0","0","0","0","13","9","9","87","71","13"
"Tijdschrift van de Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis","Koninklijke Vereniging voor nederlandse Muziekgeschiedenis ","JSTOR","1383-7079","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"Transactions of the American Mathematical Society","American Mathematical Society","JSTOR","0002-9947","","4","2","0","2","1","0","0","0","3","4","4","5","25","17","8"
"Transactions of the American Philological Association (1974-)","The Johns Hopkins University Press","JSTOR","0360-5949","1533-0699","4","45","4","34","88","3","2","1","10","38","14","27","270","212","54"
"Transactions of the American Philosophical Society","American Philosophical Society","JSTOR","0065-9746","","2","6","1","11","3","6","0","4","2","5","10","1","51","46","5"
"Transactions of the Grotius Society","Oxford University Press","JSTOR","1479-1234","","0","0","0","2","0","0","0","0","0","0","0","0","2","2","0"
"Transactions of the Institute of British Geographers","Royal Geographical Society","JSTOR","0020-2754","","0","9","1","29","13","0","0","2","0","1","7","9","71","53","17"
"Transactions of the Kansas Academy of Science (1903-)","Kansas Academy of Science","JSTOR","0022-8443","","0","0","0","0","0","0","0","0","0","0","0","9","9","9","0"
"Transition","WEB DuBois Institute","JSTOR","0041-1191","1527-8042","2","14","1","17","27","10","0","0","3","18","20","10","122","99","23"
"Tulsa Studies in Women's Literature","University of Tulsa","JSTOR","0732-7730","","1","9","2","20","18","0","0","4","1","17","12","18","102","82","18"
"Twentieth Century Literature","Hofstra University","JSTOR","0041-462X","","5","12","5","34","19","0","3","0","3","38","54","96","269","225","42"
"University of Chicago Law Review","The University of Chicago Law Review","JSTOR","0041-9494","","0","1","3","14","15","4","1","0","0","10","18","12","78","64","13"
"University of Pennsylvania Law Review","The University of Pennsylvania Law Review","JSTOR","0041-9907","","0","0","0","15","14","8","2","0","3","11","5","21","79","65","14"
"University of Toronto Law Journal","University of Toronto Press","JSTOR","0042-0220","","1","7","0","5","1","2","0","3","0","0","70","3","92","61","31"
"Unterrichtspraxis &#47; Teaching German","American Association of Teachers of German","JSTOR","0042-062X","","0","0","0","0","0","0","0","0","0","1","3","0","4","4","0"
"Vetus Testamentum","Brill Academic Publishers","JSTOR","0042-4935","","0","1","0","3","0","0","3","0","0","6","1","9","23","21","2"
"Vigiliae Christianae","Brill Academic Publishers","JSTOR","0042-6032","","2","53","0","8","5","3","0","0","0","0","3","0","74","51","20"
"Virginia Law Register","Virginia Law Review","JSTOR","1547-1357","","0","4","9","3","6","3","2","0","1","3","3","1","35","34","0"
"Virginia Law Review","Virginia Law Review","JSTOR","0042-6601","","0","1","5","13","21","3","1","6","7","28","22","20","127","109","17"
"Waterbirds: The International Journal of Waterbird Biology","Waterbird Society","JSTOR","1524-4695","","0","0","2","4","5","1","0","0","0","1","7","0","20","11","9"
"Welt des Islams","Brill Academic Publishers","JSTOR","0043-2539","","6","3","0","1","1","0","0","4","3","2","11","4","35","25","10"
"Western Folklore","Western States Folklore Society","JSTOR","0043-373X","","1","17","8","11","21","4","0","3","5","15","34","12","131","119","12"
"Western Historical Quarterly","Western Historical Quarterly, Utah State University","JSTOR","0043-3810","","1","10","12","26","4","0","4","0","10","13","41","21","142","123","19"
"Wicazo Sa Review","University of Minnesota Press","JSTOR","0749-6427","","0","1","0","7","1","0","0","0","3","2","4","6","24","21","3"
"William and Mary Quarterly","Omohundro Institute of Early American History and Culture","JSTOR","0043-5597","1933-7698","2","37","13","32","87","7","22","23","890","279","40","161","1593","1116","457"
"Winterthur Portfolio","University of Chicago Press","JSTOR","0084-0416","1545-6927","2","39","11","41","31","5","2","4","65","17","35","4","256","181","69"
"Woman's Art Journal","Woman's Art, Inc.","JSTOR","0270-7993","","0","5","18","55","30","0","0","0","6","18","24","17","173","133","35"
"World Archaeology","Taylor &amp; Francis, Ltd. ","JSTOR","0043-8243","","18","50","28","57","35","2","0","1","14","24","23","14","266","184","78"
"World Politics","World Politics","JSTOR","0043-8871","1086-3338","6","47","69","53","27","1","3","0","8","19","21","42","296","184","112"
"Yale French Studies","Yale University Press","JSTOR","0044-0078","","4","5","6","13","19","10","2","2","1","12","34","23","131","105","25"
"Yale Law Journal","The Yale Law Journal Company, Inc.","JSTOR","0044-0094","","1","16","24","61","29","19","4","2","10","28","33","25","252","203","46"
"Yearbook for Traditional Music","International Council for Traditional Music","JSTOR","0740-1558","","6","7","7","3","1","5","1","2","8","14","0","6","60","48","12"
"Yearbook of English Studies","Modern Humanities Research Association","JSTOR","0306-2473","","0","0","0","0","0","0","0","0","3","15","27","8","53","43","9"
"Zeitschrift f&#252;r Kunstgeschichte","Deutscher Kunstverlag GmbH Munchen Berlin","JSTOR","0044-2992","","0","11","4","13","14","3","0","0","2","4","16","2","69","54","15"
