1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Hebrew unisex name meaning "delight" or "place of pleasure." In the bible, this is the name of the garden in which Adam and Eve lived. | male. EDEN (עֵדֶן)
1: Hebrew unisex name meaning "joy, song." Compare with strictly masculine Ron. | female. RON (רוֹן)
1: Hebrew unisex name meaning "my ornament" or "my witness." | female. ADI (עֲדִי)
1: Icelandic name derived from Old Norse heilagr, meaning "holy; dedicated to the gods." | female. HELGA
1: In Greek mythology, ambrosia is the name of a food or drink of the gods that gives them immortality. Feminine form of Greek Ambrosios, meaning "immortal." Feminine form of Latin Ambrosius, meaning "immortal." | female. AMBROSIA
1: In the 4th century Romano-British tribes from across the English Channel began to settle in a northwestern region of France. Their numbers increased as raiding and settling by Anglo-Saxon invaders in Britain increased. The French named the region where the Briton immigrants settled Bretagne (Brittany in English), meaning "little Britain." | female. BRITTANY
1: In the bible, this is the name of the second son of Adam and Eve who was killed by his jealous brother Cain. Anglicized form of Greek Habel, meaning "vanity," i.e. "transitory." Anglicized form of Hebrew Hebel, meaning "breath, breathing." | male. ABEL
1: Irish and Scottish surname transferred to forename use, from an Anglicized form of Gaelic Mac Cionaodha, meaning "son of Cionaodh," hence "born of fire." | female. MCKENNA
1: Irish Gaelic unisex name meaning "little champion." | female. CARLIN
1: Irish surname transferred to forename use, an Anglicized form of Gaelic Ó Coileáin, "descendant of Coileán," hence "whelp, young pup." | male. CULLEN
1: Irish surname transferred to forename use, an Anglicized form of Gaelic Ó Conbhuide "descendant of Cú Bhuidhe," hence "yellow hound." | male. CONWAY
1: Irish surname transferred to forename use, derived from an Anglicized form of Gaelic Ó Foghladha "descendant of Foghlaidh," hence "pirate, plunderer." | male. FOLEY
1: Irish surname transferred to forename use, derived from an Anglicized form of Gaelic Ruadhán, meaning "little red one." Compare with feminine Rowan. | male. ROWAN
1: Irish surname transferred to forename use, derived from O'Hanley, an Anglicized form of Gaelic Ó hÁinle, meaning "descendant of Áinle," hence "champion." | male. HANLEY
1: Irish surname transferred to forename use, derived from the English personal name Kayley, meaning "slender." | female. KEELEY
1: Irish surname transferred to forename use, derived from the surname Devine, an Anglicized form of Gaelic Ó Daimhín, "descendant of Daimhín," hence "little fawn." | male. DEVIN
1: Irish surname transferred to forename use, from an Anglicized form of either Gaelic Cnámhín, a nickname for a skinny man meaning "little bone," or from Gaelic Naomhán, meaning "little saint." | male. NEVIN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Baile an Doire, meaning "town of the oak wood." | male. BALLINDERRY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Béal an Átha Móir, meaning "mouth of the big ford." | male. BALLINAMORE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Georóid, meaning "spear ruler." | male. GARRETT
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Aodhagáin "son of Aodhagán," hence "tiny little fire." | male. KEEGAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Biorna "son of Biorna," hence "bear." | male. BURNEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Coinín "son of Coinín," hence "little wolf." | male. KENYON
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Fhlannchaidh, "son of Flannchadh," hence "red warrior." | male. CLANCY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Giolla Ruaidh, "son of the Ruadh," hence "red." | male. GILROY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Braonáin, "descendant of Braonán," hence "little drop." | male. BRENNAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Broin "descendant of Bran," hence "raven." | male. BYRNE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caoimh "descendant of Caomh," hence "beloved, comely." | male. KEEFE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caoindealbhán "descendant of Caoindealbhán," hence "little fair-formed one." | male. QUINLAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caollaidhe, "descendant of Caolladhe," hence "slender." | female. KAYLEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Cearnaigh "descendant of Cearnaigh," hence "victor, winner." | male. KEARNEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Coinn "descendant of Conn," hence "chief, freeman, head, hound, intelligence, strength." | male. QUINN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Dálaigh, "descendant of Dálach," hence "assembly, gathering." | male. DALEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Deoradháin, "descendant of Deoradhán," hence "exile, wanderer." Compare with another form of Doran. | male. DORAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Donndubháin, "descendant of Donndubhán," hence "little dark brown one." | male. DONOVAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Fearghail "descendant of Fearghal," hence "man of valor." | male. FARRELL
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Fionnagáin "descendant of Fionnagán," hence "tiny little white one." | male. FINNEGAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Flannabhra "descendant of Flannabhra," hence "red eyebrows." | male. FLANNERY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Floinn, meaning "descendant of Flann," hence "red, ruddy." | male. FLYNN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Gallchobhair "descendant of Gallchobhar," hence "foreign help." | male. GALLAGHER
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Gráda "descendant of Gráda," hence "noble." | male. GRADY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó hEachthighearna "descendant of Eachthighearna," hence "lord of horses." | male. AHERN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó h-Eidirsceóil "son of the messenger," from eidirsceól, composed of the elements eidir "between" and scéal "story, news," hence "go-between, intermediary, messenger, news bearer." | male. DRISCOLL
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Maoil Eoin, meaning "devotee of St Eoin (John)." | male. MALONE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Muircheartaigh "descendant of Muircheartach," hence "skilled seaman." | male. MORIARTY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Muirgheasa "descendant of Muirgheas," hence "sea-taboo." | male. MORRISSEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Murchadha "descendant of Murchadh," hence "sea-warrior." | male. MURPHY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Riain ("descendant of Rian"), hence "little king." | male. RYAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Ruaidh, meaning "descendant of Ruadh." | male. ORMOND
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Sirideáin ("descendant of Sirideán"), possibly meaning "searcher." | male. SHERIDAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Súileabháin ("descendant of Súileabhán"), hence "little dark eyes." | male. SULLIVAN
1: Irish surname transferred to forename use, from an Anglicized form of Ó Nualláin "descendant of Nuallán," hence "little champion" or "little chariot fighter." | male. NOLAN
1: Irish surname transferred to forename use, from McCadden, an Anglicized form of Gaelic Mac Cadáin "son of Cadán," hence "little battle." | male. CADEN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Brádaigh "descendant of Brádach," hence "large-chested." | male. BRADY
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Brádaigh, meaning "descendant of Brádach," hence "large-chested." | female. BRADY
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Riagáin, "descendant of Riagán," hence "furious, impulsive." | female. REAGAN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Riagáin, "descendant of Riagán," hence "furious, impulsive." | male. REAGAN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Sluaghadháin, "descendant of Sluaghadhán," hence "little raider." | female. SLOANE
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Sluaghadháin, "descendant of Sluaghadhán," hence "little raider." | male. SLOANE
1: Irish surname transferred to unisex forename use, from a contracted form of the surname Keelahan, an Anglicized form of Gaelic Ó Céileacháin, "descendant of Ceileachain," hence "little companion." | female. KEELAN
1: Irish surname transferred to unisex forename use, from a contracted form of the surname Keelahan, an Anglicized form of Gaelic Ó Céileacháin, "descendant of Ceileachain," hence "little companion." | male. KEELAN
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Déiseach (originally a name for a member of the Déise), "a tenant, a vassal," a word tracing back to Indo-European *dem-s, meaning "house." | male. DACEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Déiseach which was originally a name for a member of the Déise, "a tenant, a vassal," a word tracing back to Indo-European *dem-s ("house"). | female. DACEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Brógáin, meaning "descendant of Brógán," hence "little shoe." | female. BROGAN
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Ciardha, "descendant of Ciardha ("black, dark"), hence "dark one." | female. CARY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Ciardha "descendant of Ciardha," hence "dark one." | male. CARY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Dubhshláine "descendant of Dubhshláine," hence "black challenger." | female. DELANEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Dubhshláine "descendant of Dubhshláine," hence "black challenger." | male. DELANEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Séaghdha ("descendant of Séaghdha"), possibly meaning "hawk-like." | female. SHEA
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Séaghdha ("descendant of Séaghdha"), possibly meaning "hawk-like." | male. SHEA
1: Irish surname transferred to unisex forename use, from a variant spelling of the surname Cuddihy (also spelled Cuddy), an Anglicized form of Gaelic Ó Cuidighthigh "descendant of Cuidightheach," hence "helper." | female. CODY
1: Irish surname transferred to unisex forename use, from a variant spelling of the surname Cuddihy (also spelled Cuddy), an Anglicized form of Gaelic Ó Cuidighthigh "descendant of Cuidightheach," hence "helper." | male. CODY
1: Irish surname transferred to unisex forename use in honor of the assassinated American president John F. Kennedy, derived from an Anglicized form of Gaelic Cinnéidigh, meaning "ugly head." | male. KENNEDY
1: Irish surname transferred to unisex forename use in honor of the assassinated American president John F. Kennedy, from an Anglicized form of Gaelic Cinnéidigh, meaning "ugly head." | female. KENNEDY
1: Italian and Spanish form of Greek Martha, meaning "lady, mistress." | female. MARTA
1: Italian compound name composed of Rosa "rose" and Anna "favor, grace," hence "rose of grace." | female. ROSANNA
1: Italian form of English Moses, meaning "drawn out." | male. MOSÈ
1: Later form of English Dandrane, the Arthurian legend name of the sister of Percival, sometimes known as the "Grail heroine." She is a major character in many of the Holy Grail stories. | female. DANDRENOR
1: Later spelling of Old French Caterine, meaning "pure." | female. CATHERINE
1: Latin form of Greek Kleitos, meaning famous, renowned." | male. CLETUS
1: Latin form of Severn, the name of a river in England where a Celtic goddess dwelt. The Old Welsh form of Severn is Habren. The name is of uncertain origin, possibly from Hebrew Sabra, the name for a native-born Israeli, meaning "thorny cactus." | female. SABRINA
1: Latin name composed of the word ursa "she-bear" and a diminutive suffix, hence "little she-bear." | female. URSULA
1: Latin name derived from the word gloria, meaning "glory." | female. GLORIA
1: Latin name derived from the word serenus, meaning "serene, tranquil." | female. SERENA
1: Latin name derived from the word silvester, from silva, meaning "forest, wood," hence "from the forest." | male. SILVESTER
1: Latin name first found in the medieval romance Amadis of Gaul, as the name of the king's daughter who married the Gaulish knight Amadis, possibly from the medieval Latin word oroana, meaning "golden." | female. ORIANA
1: Latin name for the personification of the British Empire, meaning "Britain." | female. BRITANNIA
1: Latin name of uncertain derivation; it is either a feminine form of Victorius "conqueror," or from the vocabulary word victoria, "victory." In Roman mythology, this is the name of a goddess of victory. | female. VICTORIA
1: Latin name, possibly derived from the Latin word monere, meaning "advise, counsel." | female. MONICA
1: Literary name derived from the Greek word dysdaimon, meaning "ill-starred." | female. DESDEMONA
1: Low German form of Latin Christina, meaning "believer" or "follower of Christ."Swedish form of Latin Christina, meaning "believer" or "follower of Christ." | female. KERSTIN
1: Low German pet form of Latin Silvester, meaning "from the forest." | male. FESTER
1: Medieval diminutive form of English Hue ("heart," "mind," or "spirit"), hence "little heart/mind/spirit." | male. HUET
1: Medieval English name derived from Anglo-Saxon Wigheard, meaning "hardy warrior." | male. WYOT
1: Medieval English name derived from Latin Pancratius, meaning "all power." | male. PANCRAS
1: Medieval English name derived from Latin Rohesia, which is probably a horse-related name. | female. ROYSE
1: Medieval English name derived from Old French reine (Latin regina), meaning "queen." Compare with another form of Rayne. | female. RAYNE
1: Middle English and Old French form of Old High German Adalhard, meaning "noble strength." | male. AILLARD
1: Middle English and Old French vernacular form of Late Latin Jacomus, from Greek Iakobos, meaning "supplanter." In the New Testament bible, this is the name of several characters, including two apostles and a half-brother of Jesus. | male. JAMES
1: Middle English masculine form of Anglo-Saxon Eoforhild, meaning "boar battle." | male. AVEREL
1: Middle English name derived from Anglo-Saxon Ædhelweard, meaning "noble guard." | male. DHELWEARD
1: Middle English name of uncertain origin, but commonly associated with Latin Milo, meaning "soldier." Compare with another form of Mile. | male. MILE
1: Middle English name, possibly originally a byname meaning "fat man," from the Germanic root kupp, meaning "to swell." | male. KIPP
1: Middle English name probably derived from Welsh Gwalchgwyn "white hawk" or Gwalchmei "May hawk." In Arthurian legend, this is the name of a Knight of the Round Table. He was the eldest son of Morgause and King Lot of Orkney, cousin to Sir Ywain, and nephew to Arthur. He was brother to Agravain, Gaheris, Gareth, and Mordred, the father of Florence, Gingalain, and Lovell. He is noted for his fierce loyalty to his king, for being a defender of the poor, and for being a ladies' man. He is also called Gwalltafwyn, meaning "hair like rain." | male. GAWAIN
1: Middle English surname (of Norman French origin) transferred to forename use, meaning "hunter." | male. CHASE
1: Modern American English name of uncertain origin. It may be from Hebrew Yamir, meaning "to change," or it may be a contracted form of the French surname Jamard, from German Gamhard, meaning "happy and healthy." | male. JAMAR
1: Modern English blend of Hebrew Leah "weary" and Italian Beatrice "voyager (through life)," hence "weary voyager." | female. LEATRICE
1: Modern English blend of Kimberly "King's City Meadow" and Lynn "lake." | female. KIMBERLYN
1: Modern English blend of Marsha "defense" or "of the sea" and Anne "favor; grace." | female. MARSHAN
1: Modern English compound name composed of Flo "blossoming/flower" and Ella "foreign; the other." | female. FLOELLA
1: Modern English compound name composed of Mal- ("dark, black") from Malinda, and Sandra "defender of mankind." | female. MALANDRA
1: Modern English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion," and Lyn "lake," hence "rebel-lake." | female. MARILYN
1: Modern English compound name composed of Mel- (from Melissa ("sweet") or Melanie "black, dark") and Linda "serpent," hence "black/dark serpent" or "sweet serpent." | female. MELINDA
1: Modern English compound name composed of Shae "hawk-like" and Lyn "lake." | female. SHAYLYN
1: Modern English compound name composed of Shae "hawk-like" and Lynn "lake." | female. SHAELYN
1: Modern English creation, possibly a blend of Deon "god, Zeus" and Dante "steadfast." | male. DEONTE
1: Modern English creation, possibly an elaborated form of Hebrew Tal, meaning "dew." | female. TALISHA
1: Modern English creation that is an elaborated form either of Lisha (a short form of longer names ending with -isha) or Alisha ("noble sort"). | female. KALISHA
1: Modern English name created by spelling "heaven" backwards. | female. NEVAEH
1: Modern English name created by spelling Kevin ("little comely one") backwards. | male. NIVEK
1: Modern English name derived either from Italian cara, a term of endearment meaning "beloved," or from the Irish Gaelic word cara, meaning "friend." | female. CARA
1: Modern English name derived from a Parisian fashion house founded by Coco Chanel whose surname meant "pipe." | female. CHANEL
1: Modern English name derived from Greek Abilēnē, the biblical name of a region belonging to the city of Abila, meaning "grassy meadow." | female. ABILENE
1: Modern English name derived from Latin anima, meaning "anger, courage, essence, feeling, mind, passion, spirit," from the PIE root *ane-, meaning "to breathe," the same root from which the words animal and animation came. But in Christian contexts, the word anima was used to translate the Greek word psykhe into "soul" (not "spirit"), and this is the same anima from which the personal name was derived. Compare with another form of Anima. | female. ANIMA
1: Modern English name derived from Latin lyrica "lyric poem," from French lyrique "short poem expressing personal emotion," from Latin lyricus "of or for the lyre," from Greek lyrikos "singing to the lyre." | female. LYRICA
1: Modern English name derived from Latin maris, meaning "of the sea." | female. MARISSA
1: Modern English name derived from Latin novus, meaning "new." Compare with another form of Nova. | female. NOVA
1: Modern English name derived from Old English beorht, meaning "bright." Used as a short form of longer names containing the same element. | male. BERT
1: Modern English name derived from Old French Giselle, meaning "pledge, hostage, noble offspring." | female. GHISLAIN
1: Modern English name derived from the country name which was derived from the name of a mountain, probably from Kiinyaa, the Wakamba tribe's name for the mountain, meaning "mountain of the ostrich," because the mountain is said to have certain features of the ostrich when it is snow-covered. Compare with masculine Kenya. | female. KENYA
1: Modern English name derived from the Greek word neos, meaning "new." Compare with another form of Neo. | male. NEO
1: Modern English name derived from the Latin word meliora, meaning "always improving." | female. MELIORA
1: Modern English name derived from the name of a city in Arizona, from the Spanish form of O'odham Cuk Son, meaning "black base." | male. TUCSON
1: Modern English name derived from the name of a silky nylon fiber developed by DuPont in 1968. | female. QIANA
1: Modern English name derived from the Sanskrit word nirvana, meaning "disappearance, extinction (of the soul)." | female. NIRVANA
1: Modern English name derived from the vocabulary word, nimbus, originally meaning "bright cloud surrounding a god," from Latin nimbus "cloud." It may also be related to nebula "cloud, mist." | male. NIMBUS
1: Modern English name, either derived from from the vocabulary word, or a revival of the medieval English personal name Rayne, meaning "queen." Compare with masculine Rain. | female. RAIN
1: Modern English name perhaps based on the vocabulary word air, hence "ethereal." | female. AIRLA
1: Modern English name, possibly a blend of Celandine (bird and flower name) and Linda from the Spanish word meaning "pretty." | female. CELINDA
1: Modern English name, possibly a blend of Spanish Lola "sorrows" and Alicia "noble sort." | female. LOLICIA
1: Modern English name, possibly based on Esperanto Amika, meaning "friendly." | female. TAMIKA
1: Modern English name, possibly derived from the Greek word aidoios, meaning "modest." | female. HAIDEE
1: Modern English name, probably a blend of Cindy "woman from Kynthos" and Sandra "defender of mankind." | female. CINDRA
1: Modern English name probably based on Greek Melissa, meaning "honey-sap." | female. JELISSA
1: Modern English name, probably based on Russian Tamara, "palm tree," or the Sanskrit word tamara, meaning "spice." | female. TAMIA
1: Modern English name that is either a variant form of Russian Tamara, meaning "palm tree," or based on the Sanskrit word tamara, meaning "spice." | female. TAMERA
1: Modern English name which is possibly a blend of Tammy "palm tree" and Pamela "all honey." | female. TAMELA
1: Modern English unisex name derived from the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. Compare with another form of Paris. | male. PARIS
1: Modern English unisex name derived from the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. Compare with strictly masculine Paris. | female. PARIS
1: Modern English unisex name derived from the name of the brightest star in the constellation Aquila, from an Arabic word meaning "the bird" or "the flyer." | female. ALTAIR (الطير)
1: Modern Welsh name composed of the words glân "clean, pure, holy" and da "good," hence "pure good." | female. GLENDA
1: Modern Welsh name derived from the word glân, meaning "holy, pure." | female. GLENYS
1: Name of a plant of the mint family once popular in herbal medicine, occasionally used as a forename. It is also called woundwort and lousewort. It is said to possibly derive from Celtic bew "head" and ton "good," because it is good for complaints of the head. Pliny said that the original name of this plant was Vettonica, from the Vettones, an ancient Iberian tribe. | female. BETONY
1: Native American Dakota name meaning "firstborn daughter." | female. WINONA
1: Norman English form of Anglo-Saxon Hroðgar, meaning "famous spear." | male. ROGER
1: Norman French form of Old High German Adalheid, meaning "noble sort." In use by the English and Scottish. Compare with another form of Alison. | female. ALISON
1: Norman French name derived from Latin Alvinius, meaning "elf friend." In use by the English. | male. ALVIN
1: Norman French surname transferred to English forename use, derived from the word campion, which was originally a status name for a professional "champion." | male. CAMPION
1: Norman name derived from Germanic id, meaning "work." Scandinavian form of Icelandic Iða, meaning "industrious." | female. IDA
1: Often translated "lovely rose" using Latin elements, this name was introduced to Britain by the Normans and is therefore more likely to be of Germanic origin, probably composed of the elements hros "horse" and lind "weak, tender," hence "weak horse." | female. ROSALIND
1: Old Celtic name, possibly having the same origin as Irish Gaelic Ailín, from ailín, a diminutive of ail "rock," hence "little rock." | male. ALAN
1: Old English Arthurian legend name of a Knight of the Round Table who was the illegitimate son and traitor of King Arthur, possibly meaning "sea counsel." He was brother (or half-brother) to Agravain, Gaheris, Gareth, and Gawain, and noted for having crowned himself and married Guinevere while Arthur was waging war on Emperor Lucius of Rome. He was killed by Arthur at the Battle of Camlann. | male. MORDRED
1: Old English byname for a person having unusually dark or light hair or skin. It later became a surname then a popular forename. It comes from two Old English words: 1) blæc "black," and, 2) blāc "white." It can therefore mean either "black" or "white." | male. BLAKE
1: Old English byname transferred to forename use, derived from the word read ("red"), hence "red-headed; ruddy complexioned." | male. RED
1: Old English flower name, meaning simply "clover." | female. CLOVER
1: Old English habitational surname transferred to forename use, from the name of various places most of which were composed of the Old English elements eald "old" and ford "ford," hence "old river-ford." | male. ALFORD
1: Old English name composed of the elements god "God" and gyfu "gift," hence "gift of God." | female. GODIVA
1: Old English name derived from Latin nonus, meaning "ninth." Usually given to the ninth born child if it is female. Compare with another form of Nona. | female. NONA
1: Old English name derived from the element hux, meaning "insult, taunt." Possibly a byname before becoming a personal name. | male. HUCC
1: Old English name derived from the word cweald, meaning "kill." | female. QUELLA
1: Old English name derived from the word swith, meaning "strong." | male. SWITHIN
1: Old English occupational name meaning "doorkeeper, warder at the gate." | male. DURWARD
1: Old English occupational surname transferred to forename use, derived from the word bæcestre, "female baker," the feminine form of bæcere, "(male) baker." | male. BAXTER
1: Old English surname transferred to forename use, composed of the elements hlyn "maple" and ford "ford," hence "maple tree ford." | male. LINFORD
1: Old English surname transferred to forename use, derived from an old byname for a "Scotsman." | male. SCOTT
1: Old English surname transferred to forename use, derived from the name of many places most of which meant either "old town" or "settlement at the (river) source." | male. ALTON
1: Old English surname transferred to forename use, meaning "clean field; clear open country." | male. GLANVILLE
1: Old English surname transferred to unisex forename use, derived from the name of the River Afton in Ayrshire, Scotland, made famous in Burns' poem "Sweet Afton." | female. AFTON
1: Old English surname transferred to unisex forename use, derived from the name of the River Afton in Ayrshire, Scotland, made famous in Burns' poem "Sweet Afton." | male. AFTON
1: Old English surname transferred to unisex forename use, derived from the word blīðe, meaning "cheerful, happy." | female. BLYTHE
1: Old English surname transferred to unisex forename use, derived from the word blīðe, meaning "cheerful, happy." | male. BLYTHE
1: Old English surname transferred to unisex forename use, meaning "son of Adam." | female. ADDISON
1: Old English surname transferred to unisex forename use, meaning "son of Adam." | male. ADDISON
1: Old English Tolkien invented name, meaning "horse-friend." | female. EOWYN
1: Old English unisex name derived from the vocabulary word bliss, meaning "joy; happiness." | male. BLISS
1: Old English unisex name derived from the word bliss, meaning "joy; happiness." | female. BLISS
1: Old French derogatory byname derived from the Old Occitan word brian, meaning "maggot." Compare with another form of Brian. | male. BRIAN
1: Old French form of Greek Helénē, possibly meaning "torch." In Malory's Morte D'Arthur (Death of Arthur), this is the name of the tragic figure who dies of grief because Sir Lancelot is unable to return her love. | female. ELAINE
1: Old French occupational surname transferred to English forename use, meaning "candle merchant." | male. CHANDLER
1: Old German name derived from the word berht, meaning "bright." | female. BERTHA
1: Old German short form of longer names containing hild, meaning "battle." Icelandic and Scandinavian form of Old Norse Hildr, meaning "battle." | female. HILDA
1: Old High German name meaning "a Wend; a wanderer," a term used to refer to migrant Slavs in the sixth century. | male. WENDEL
1: Old Irish and Scottish name believed to be of Scandinavian origin, from Old Norse brandr, meaning "sword." | female. BRENDA
1: Old Norman French equivalent of English Avila, meaning "little Eve." | female. AVELINE
1: Old Norman French name of Germanic origin, derived from the element ermen/irmen, meaning "entire, whole." | female. EMMA
1: Old Pet form of English Walter, meaning "ruler of the army." | male. WATKIN
1: Old Scottish name, possibly meant to be a feminine form of English/Scottish Ronald, meaning "wise ruler." | female. RHONA
1: Original Celtic form of the misspelled English Shakespeare character name Imogen, derived from the Gaelic element inghean, meaning "girl, maiden." | female. INNOGEN
1: Originally a byname for a tough guy, this name was used by the boxing champion Rocky Marciano as an English form of his Italian name Rocco, "rest," which he felt would be more suitable as a name for a fighter. | male. ROCKY
1: Originally a form of English Mercy "forgiveness, mercy," today it this name is usually chosen form its association with the word "cheerful" and "jolly." | female. MERRY
1: Originally an American English boxing term, this name was later used as a byname for a tough-guy. Finally it transferred to a forename, and it still carries the same original meaning, "a blow with the fist." | male. BIFF
1: Originally an English pet form of Hebrew Sarah, meaning "noble lady, princess," it is now given as an independent name. | female. SALLY
1: Originally an English pet name meaning "handsome," derived from the French word, beau, meaning "beautiful." Later, in the 19th century, it was used as a word meaning "admirer" or "sweetheart." Its use as a forename seems to have been due to Wren's novel Beau Geste (1924) and the character Beau Wilkes in Mitchell's Gone With the Wind (1936). | male. BEAU
1: Originally a short form of English Clifford ("cliff river crossing)", this name became an independent name, meaning simply "cliff." | male. CLIFF
1: Originally a short form of surnames, mostly Scottish, beginning with Mac-, meaning "son of," it is now sometimes given as a forename. | male. MACK
1: Originally a short from of the occupational surname Butcher. Later it was used to address a stranger in a sort of derogatory manner. For example, "Listen here, Butch..." | male. BUTCH
1: Originally a Spanish form of Latin Isabella, meaning "God is my oath." It later became an English royal name and its popularity was enhanced by the fact that it was borne by Queen Isabella (1296-1358), despite the fact that she was a murderess. | female. ISABEL
1: Originally a variant spelling of English Helen, possibly meaning "torch." Now considered an independent name. | female. ELLEN
1: Originally from the Italian occupational name for a "cook," it is now in continental use as a pet form of longer names beginning with Co-. | female. COCO
1: Patronymic form of English Mile, meaning "son of Mile." | male. MILES
1: Perhaps a form of English Edith, meaning "rich battle." | female. AIDITH
1: Perhaps an English form of Scandinavian Alvis, meaning "all wise." | male. ELVIS
1: Perhaps an English variant form of German Wanda or Italian Vanda, both meaning "a Wend; a wanderer," a term used to refer to migrant Slavs in the sixth century. | female. VONDA
1: Perhaps a transposed form of English Miranda, meaning "admirable." | female. MARINDA
1: Perhaps a variant spelling of English Alice, meaning "noble sort." | female. ALEASE
1: Perhaps a variant spelling of English Emily, meaning "rival." | female. AMALEE
1: Persian name derived from sitareh, meaning "star." In the bible, this is the Persian name given to the Jewish virgin Hadassah, the central character in the Book of Esther. | female. ESTHER
1: Pet form of English Arline, a short form of longer names ending with -arlene or -arline. | female. ARLIE
1: Pet form of English names beginning with Lan-. | male. LANNY
1: Pet form of English names ending with the sound of net. Compare with another form of Netta. | female. NETTA
1: Pet form of English names ending with the sound of net. | female. NETTIE
1: Pet name for longer English names containing Hard- or Hart-, meaning "brave, hardy, strong." | male. HARDY
1: Popular spelling of English Stephen, meaning "crown." | male. STEVEN
1: Possibly a contracted form of Old High German Betlinde, meaning "bright serpent" or "bright linden tree." | female. BELINDA
1: Possibly a diminutive form of English Cara, hence "beloved" or "friend." The name first appears in Margaret Mitchell's novel Gone With the Wind, where it is the name of a sister of Scarlett. | female. CAREEN
1: Possibly an Anglicized form of Irish Gaelic Meadhbh, meaning "intoxicating." Short form of English Mabel, meaning "lovable." | female. MAB
1: Possibly an English Christian coinage derived from Latin petulare, meaning "to ask," hence "supplicant." | female. PETULA
1: Possibly an English contracted form of Arabic Selima, meaning "peaceful." Compare with other forms of Selma. | female. SELMA
1: Possibly an English form of Latin Selena, meaning "moon." This name was first recorded in the 17th century. | female. SELINA
1: Possibly a variant spelling of English Irvin, meaning "fresh water" or "green water." | male. ARVIN
1: Probably a feminine form of German Wendel, meaning "a Wend; a wanderer," a term used to refer to migrant Slavs in the sixth century. | female. WANDA
1: Probably a Middle English form of Anglo-Saxon Æðelbert, meaning "bright nobility." | male. DELBERT
