AGAF|Afutara Airport|Afutara
PKRO|Dyess Army Airfield (Freeflight International Airport)|Roi-Namur
PKWA|Kwajalein Airport|Kwajalein
PLCH|Cassidy International Airport|Kiritimati (Christmas Island)
PLPA|Palmyra (Cooper) Airport|Palmyra Atoll
PMDY|Henderson Field (Naval Air Facility)|Sand Island
PTKK|Chuuk International Airport|Weno, Chuuk
PTPN|Pohnpei International Airport|Pohnpei
PTSA|Kosrae International Airport (FAA: TTK)|Kosrae
PTYA|Yap International Airport (FAA: T11)|Yap
PTRO|Palau International Airport (Babelthuap/Koror Airport)|Airai, Palau
PWAK|Wake Island Airfield|
RCBS|Kinmen Airport|Kinmen
RCCM|Cimei Airport|Cimei
RCFG|Matsu Nangan Airport|Nangan
RCFN|Taitung Airport|Taitung
RCGI|Lyudao Airport|Lyudao
RCKH|Kaohsiung International Airport|Kaohsiung City
RCKU|Chiayi Airport|Chiayi
RCKW|Hengchun Airport|Hengchun
RCLY|Lanyu Airport|Lanyu (Orchid Island)
RCMQ|Taichung Airport|Taichung
RCMT|Matsu Beigan Airport|Matsu Islands
RCNN|Tainan Airport|Tainan City
RCPO|Hsinchu Air Base|Hsinchu
RCQC|Makung Airport|Makung
RCSQ|Pingtung Airport|Pingtung
RCSS|Taipei Songshan Airport|Taipei City
RCTP|Taiwan Taoyuan International Airport|Taipei
RCWA|Wangan Airport|Wang-an
RCYU|Hualien Airport|Hualien
RJAA|Narita International Airport (Old name : New Tokyo International Airport)|Narita, Chiba
RJAF|Matsumoto Airport|Matsumoto, Nagano
RJAH|Hyakuri Airfield (military base; civil aviation facility under construction; to open as Ibaraki Airport)|Omitama, Ibaraki
RJAM|Minami Torishima Airport|Ogasawara, Tokyo (Minami Torishima)
RJAN|Niijima Airport|Niijima, Tokyo
RJAW|Iwo Jima Air Base|Ogasawara, Tokyo (Iwo Jima)
RJAZ|Kozushima Airport|Kozushima, Tokyo
RJBB|Kansai International Airport|Izumisano, Osaka
RJBD|Nanki-Shirahama Airport|Shirahama, Wakayama
RJBE|Kobe Airport|Kobe, Hyōgo
RJBH|Hiroshima-Nishi Airport|Hiroshima, Hiroshima
RJBT|Tajima Airport|Toyooka, Hyōgo
RJCB|Obihiro Airport (Tokachi-Obihiro)|Obihiro, Hokkaido
RJCC|New Chitose Airport|Chitose, Hokkaido (near Sapporo)
RJCH|Hakodate Airport|Hakodate, Hokkaido
RJCJ|Chitose Air Base (was Chitose Airport until 1988)|Chitose, Hokkaido (near Sapporo)
RJCK|Kushiro Airport|Kushiro, Hokkaido
RJCM|Memanbetsu Airport|Ozora, Hokkaido
RJCN|Nakashibetsu Airport|Nakashibetsu, Hokkaido
RJCO|Okadama Airport (Sapporo Airfield)|Sapporo, Hokkaido
RJCR|Rebun Airport|Rebun, Hokkaido
RJCT|Tokachi Airfield|Obihiro, Hokkaidō
RJCW|Wakkanai Airport|Wakkanai, Hokkaido
RJDA|Amakusa Airfield|Amakusa, Kumamoto
RJDB|Iki Airport|Iki, Nagasaki
RJDC|Yamaguchi Ube Airport|Ube, Yamaguchi
RJDK|Kamigoto Airport|Shinkamigotō, Nagasaki
RJDO|Ojika Airport (Nagasaki Ojika)|Ojika, Nagasaki
RJDT|Tsushima Airport|Tsushima, Nagasaki
RJEB|Monbetsu Airport (Okhotsk-Monbetsu)|Monbetsu, Hokkaido
RJEC|Asahikawa Airport|Higashikagura, Hokkaidō
RJEO|Okushiri Airport|Okushiri, Hokkaido
RJER|Rishiri Airport|Rishirifuji, Hokkaido
RJFC|Yakushima Airport|Yakushima, Kagoshima
RJFE|Fukue Airport|Gotō, Nagasaki
RJFF|Fukuoka Airport|Fukuoka, Fukuoka
RJFG|New Tanegashima Airport|Nakatane, Kagoshima
RJFK|Kagoshima Airport|Kirishima, Kagoshima
RJFM|Miyazaki Airport|Miyazaki, Miyazaki
RJFO|Oita Airport|Kunisaki, Ōita
RJFR|New Kitakyushu Airport|Kitakyushu, Fukuoka
RJFS|Saga Airport|Saga, Saga
RJFT|Kumamoto Airport|Mashiki, Kumamoto
RJFU|Nagasaki Airport|Omura, Nagasaki
RJGG|Chubu Centrair International Airport (Centrair)|Chita, Aichi
RJKA|Amami Airport|Amami, Kagoshima
RJKB|Okinoerabu Airport|Wadomari, Kagoshima
RJKI|Kikai Airport|Kikai, Kagoshima
RJKN|Tokunoshima Airport|Amagi, Kagoshima
RJNA|Nagoya Airfield (Prefectural Nagoya Airport)|Toyoyama, Aichi
RJNF|Fukui Airport|Sakai, Fukui
RJNH|Hamamatsu Air Base|Hamamatsu, Shizuoka
RJNK|Komatsu Airport|Komatsu, Ishikawa
RJNO|Oki Airport|Okinoshima, Shimane
RJNT|Toyama Airport|Toyama, Toyama
RJNW|Noto Airport|Wajima, Ishikawa
RJOA|Hiroshima Airport|Mihara, Hiroshima
RJOB|Okayama Airport|Okayama, Okayama
RJOC|Izumo Airport|Hikawa, Shimane
RJOH|Miho Airfield (Yonago Airport)|Sakaiminato, Tottori
RJOI|Marine Corps Air Station Iwakuni|Iwakuni, Yamaguchi
RJOK|Kochi Airport|Nankoku, Kochi
RJOM|Matsuyama Airport|Matsuyama, Ehime
RJOO|Osaka International Airport (Itami Airport)|Itami, Hyogo
RJOR|Tottori Airport|Tottori, Tottori
RJOS|Tokushima Airport|Matsushige, Tokushima
RJOT|Takamatsu Airport|Takamatsu, Kagawa
RJOW|Iwami Airport|Masuda, Shimane
RJOY|Yao Airport|Yao, Osaka
RJSA|Aomori Airport|Aomori, Aomori
RJSC|Yamagata Airport|Higashine, Yamagata
RJSD|Sado Airport|Sado, Niigata
RJSF|Fukushima Airport|Tamakawa, Fukushima
RJSI|Hanamaki Airport|Hanamaki, Iwate
RJSK|Akita Airport|Akita, Akita
RJSM|Misawa Air Base / Misawa Airport|Misawa, Aomori
RJSN|Niigata Airport|Niigata, Niigata
RJSR|Odate-Noshiro Airport (Akita-kita Airport)|Akita, Akita
RJSS|Sendai Airport|Natori, Miyagi
RJSU|Katsuminome Airport|Sendai, Miyagi
RJSY|Shonai Airport|Sakata, Yamagata
RJTA|Naval Air Facility Atsugi|Ayase, Kanagawa
RJTC|Tachikawa Airfield|Tachikawa, Tokyo
RJTF|Chofu Airport|Chōfu, Tokyo
RJTH|Hachijojima Airport|Hachijō, Tokyo
RJTK|Kisarazu Auxiliary Landing Field|Kisarazu, Chiba
RJTO|Oshima Airport|Ōshima, Tokyo
RJTQ|Miyakejima Airport|Miyake, Tokyo
RJTT|Tokyo International Airport (Haneda)|Ota, Tokyo
RJTY|Yokota Air Base|Fussa, Tokyo
ROAH|Naha Airport|Naha, Okinawa
RODN|Kadena Air Base|Okinawa, Okinawa
ROIG|Ishigaki Airport|Ishigaki, Okinawa
ROIT|Oitakenou Airport|Bungo-ōno, Ōita
ROKJ|Kumejima Airport|Kumejima, Okinawa
ROKR|Kerama Airport|Zamami, Okinawa
ROMD|Minami-Daito Airport|Minamidaito, Okinawa
ROMY|Miyako Airport|Miyakojima, Okinawa
RORA|Aguni Airport|Aguni, Okinawa
RORE|Iejima Airport|Ie, Okinawa
RORH|Hateruma Airport|Taketomi, Okinawa
RORK|Kita-Daito Airport|Kitadaito, Okinawa
RORS|Shimojishima Airport|Miyakojima, Okinawa
RORT|Tarama Airport|Tarama, Okinawa
RORY|Yoron Airport|Yoron, Kagoshima
ROTM|Marine Corps Air Station Futenma|Ginowan, Okinawa
ROYN|Yonaguni Airport|Yonaguni, Okinawa
RKJB|Muan International Airport|Muan
RKJJ|Gwangju Airport|Gwangju
RKJK|Gunsan Airport|Gunsan
RKJM|Mokpo Airport|Yeongam County (near Mokpo)
RKJK|Kunsan Air Base|Kunsan
RKJY|Yeosu Airport|Yeosu
RKND|Sokcho Airport|Sokcho
RKNN|Gangneung Airbase|Kangnung
RKNW|Wonju Airport|Wonju
RKNY|Yangyang International Airport|Yangyang County
RKPC|Jeju International Airport|Jeju
RKPK|Gimhae International Airport|Pusan
RKPS|Sacheon Airport|Sacheon
RKPU|Ulsan Airport|Ulsan
RKSI|Incheon International Airport|Incheon (near Seoul)
RKSM|Seoul Airbase|Seongnam
RKSO|Osan Air Base|Osan
RKSS|Gimpo International Airport|Seoul
RKTE|Seongmu Airport|Seongmu
RKTH|Pohang Airport|Pohang
RKTN|Daegu Airport|Daegu
RKTU|Cheongju Airport|Cheongju
RPEN|El Nido Airport [private]|El Nido, Palawan
RPLA|Pinamalayan Airport|Pinamalayan, Oriental Mindoro
RPLB|Subic Bay International Airport|Subic Bay Freeport Zone, Bataan
RPLC|Diosdado Macapagal International Airport (Clark International Airport)|Angeles City
RPLG|Wasig Airport|Mansalay, Oriental Mindoro
RPLI|Laoag International Airport|Laoag City, Ilocos Norte
RPLJ|Jomalig Airport|Jomalig, Quezon
RPLL|Ninoy Aquino International Airport (Manila International Airport)/Villamor Air Base [military]|Metro Manila
RPLN|Palanan Airport|Palanan, Isabela
RPLO|Cuyo Airport|Cuyo, Palawan
RPLP|Legazpi Airport|Legazpi City, Albay
RPLQ|Crow Valley Gunnery Range [military]|Capas, Tarlac
RPLR|Rosales Airport|Rosales, Pangasinan
RPLS|Atienza Air Base [military] (formerly U.S. Naval Station Sangley Point)|Cavite City, Cavite
RPLT|Itbayat Airport|Itbayat, Batanes
RPLU|Lubang Airport|Lubang, Occidental Mindoro
RPLV|Fort Magsaysay Airfield [military]|Palayan City, Nueva Ecija
RPLX|Kindley Landing Field (Corregidor)|Cavite City, Cavite
RPLY|Alabat Airport|Perez, Quezon
RPLZ|Sorsogon Airport|Sorsogon City, Sorsogon
RPMA|Allah Valley Airport|Surallah, South Cotabato
RPMB - Rajah Buayan Air Base [military]|General Santos City (formerly assigned to U.S. Naval Air Station Cubi Point, now RPLB - Subic Bay International Airport)|
RPMC|Awang Airport (Cotabato Airport)|Datu Odin Sinsuat, Maguindanao (formerly assigned to Cebu-Lahug Airport, now closed)
RPMD|Francisco Bangoy International Airport|Davao City
RPME|Bancasi Airport (Butuan Airport)|Butuan City
RPMF|Bislig Airport|Bislig City, Surigao del Sur
RPMG|Dipolog Airport|Dipolog City, Zamboanga del Norte
RPMH|Camiguin Airport|Mambajao, Camiguin
RPMI|Maria Cristina Airport (Iligan Airport)|Baloi, Lanao del Norte
RPMJ|Jolo Airport|Jolo, Sulu
RPMK|Tacurong Airport (Kenram Airport)|Tacurong City, Sultan Kudarat (formerly assigned to Clark Air Base, now RPLC - Diosdado Macapagal (Clark) International Airport)
RPML|Lumbia Airport (Cagayan de Oro Airport)|Cagayan de Oro City (formerly assigned to Laoag International Airport, now RPLI)
RPMM|Malabang Airport|Malabang, Lanao del Sur (formerly assigned to Ninoy Aqunio (Manila) International Airport, now RPLL)
RPMN|Sanga-Sanga Airport (Bongao Airport)|Bongao, Tawi-Tawi
RPMO|Labo Airport(Ozamiz Airport)|Ozamiz City, Misamis Occidental
RPMP|Pagadian Airport|Pagadian City, Zamboanga del Sur (formerly assigned to Legazpi Airport, now RPLP)
RPMQ|Imelda R. Marcos Airport (Mati Airport)|Mati, Davao Oriental
RPMR|General Santos International Airport|General Santos City (formerly assigned to an airfield in Romblon Island, now inactive)
RPMS|Surigao Airport|Surigao City, Surigao del Norte (formerly assigned to U.S. Naval Station Sangley Point, now RPLS - Atienza Air Base)
RPMT|Del Monte Plantation Airstrip [private]|Manolo Fortich, Bukidnon (formerly assigned to Mactan Air Base, now part of RPVM - Mactan-Cebu International Airport)
RPMU|Cagayan de Tawi-Tawi Airport|Mapun, Tawi-Tawi
RPMV|Ipil Airport|Ipil, Zamboanga Sibugay
RPMW|Tandag Airport|Tandag, Surigao del Sur
RPMX|Liloy Airport|Liloy, Zamboanga del Norte
RPMY|Malaybalay Airport|Malaybalay City, Bukidnon
RPMZ|Zamboanga International Airport|Zamboanga City
RPNO|Siocon Airport|Siocon, Zamboanga del Norte
RPNS|Sayak Airport (Siargao Airport)|Del Carmen, Surigao del Norte
RPOB|Pagbilao Grande Airport [private]|Pagbilao, Quezon
RPPN|Rancudo Airfield [military]|Kalayaan, Palawan
RPSB|Bantayan Airport|Santa Fe, Cebu
RPSD|Taytay-Sandoval Airport (Cesar Lim Rodriguez Airport)|Taytay, Palawan
RPSG|Sicogon Airport|Carles, Iloilo
RPSM|Panan-awan Airport|Maasin City, Southern Leyte
RPSN|Ubay Airport|Ubay, Bohol
RPSR|Semirara Airport [private]|Caluya, Antique
RPTP|Tarumpitao Point Airport|Rizal, Palawan
RPUA|Aparri Airport|Aparri, Cagayan
RPUB|Loakan Airport|Baguio City
RPUC|Cabanatuan Airport|Cabanatuan City, Nueva Ecija
RPUD|Bagasbas Airport|Daet, Camarines Norte
RPUE|Lucena Airport|Lucena City
RPUF|Basa Air Base [military]|Floridablanca, Pampanga
RPUG|Lingayen Airport|Lingayen, Pangasinan
RPUH|San Jose Airport|San Jose, Occidental Mindoro
RPUI|Iba Airport|Iba, Zambales
RPUJ|Castillejos Airfield [private]|Castillejos, Zambales
RPUK|Calapan Airport|Calapan City, Oriental Mindoro
RPUL|Fernando Air Base [military]|Lipa City, Batangas
RPUM|Mamburao Airport|Mamburao, Occidental Mindoro
RPUN|Naga Airport (Pili Airport)|Pili, Camarines Sur
RPUO|Basco Airport|Basco, Batanes
RPUP|Jose Panganiban Airport|Jose Panganiban, Camarines Norte
RPUQ|Mindoro Airport (Vigan Airport)|Vigan City, Ilocos Sur
RPUR|Baler Airport|Baler, Aurora
RPUS|San Fernando Airport (Poro Point Airport)|San Fernando City , La Union
RPUT|Tuguegarao Airport|Tuguegarao City, Cagayan
RPUU|Bulan Airport|Bulan, Sorsogon
RPUV|Virac Airport|Virac, Catanduanes
RPUW|Marinduque Airport|Gasan, Marinduque
RPUX|Plaridel Airport|Plaridel, Bulacan
RPUY|Cauayan Airport|Cauayan City, Isabela
RPUZ|Bagabag Airport|Bagabag, Nueva Vizcaya
RPVA|Daniel Z. Romualdez Airport (Tacloban Airport)|Tacloban City
RPVB|New Bacolod-Silay Airport|Silay City, Negros Occidental
RPVC|Calbayog Airport|Calbayog City, Samar
RPVD|Sibulan Airport (Dumaguete Airport)|Sibulan, Negros Oriental
RPVE|Caticlan Airport (Godofredo P. Ramos Airport)|Malay, Aklan
RPVF|Catarman National Airport|Catarman, Northern Samar
RPVG|Guiuan Airport|Guiuan, Eastern Samar
RPVH|Hilongos Airport|Hilongos, Leyte
RPVI|Iloilo International Airport|Cabatuan, Iloilo
RPVJ|Masbate Airport|Masbate City, Masbate
RPVK|Kalibo Airport|Kalibo, Aklan
RPVL|Roxas-del Pilar Airport|Roxas, Palawan
RPVM|Mactan-Cebu International Airport|Lapu-Lapu City
RPVN|Medellin Airport|Medellin, Cebu
RPVO|Ormoc Airport|Ormoc City
RPVP|Puerto Princesa Airport|Puerto Princesa City
RPVQ|Biliran Airport (Naval Airport)|Naval, Biliran
RPVR|Roxas Airport|Roxas City, Capiz
RPVS|Evelio Javier Airport (Antique Airport)|San Jose de Buenavista, Antique
RPVT|Tagbilaran Airport|Tagbilaran City, Bohol
RPVU|Tugdan Airport (Tablas/Romblon Airport)|Tablas, Romblon
RPVV|Francisco Reyes Airport (Busuanga Airport)|Coron, Palawan
RPVW|Borongan Airport|Borongan, Eastern Samar
RPVX|Dolores Airport|Dolores, Eastern Samar
RPVY|Catbalogan Airport|Catbalogan, Samar
RPVZ also RPSQ|Siquijor Airport|Siquijor, Siquijor
RPWV|Buenavista Airfield|Buenavista, Agusan del Norte
RPXX|used for civilian airports and airstrips with no ICAO code yet|
RPZZ|used for military airports and airstrips with no ICAO code yet|
RPAF|Nichols Field/Villamor Air Base (now part of RPLL - Ninoy Aquino International Airport)|
RPBY|Ubay Airport (now RPSN)|
RPCA|Catbalogan Airport (now RPVY)|
RPCU|Cuyo Airport (now RPLO)|
RPNA|Biliran Airport (now RPVQ)|
RPPA|Palanan Airport (now RPLN)|
RPSI|Sayak Airport (Siargao Airport) (now RPNS)|
RPWA|Alah Valley Airport (now RPMA)|
RPWC|Awang Airport (now RPMC)|
RPWD|Francisco Bangoy International Airport (now RPMD)|
RPWE|Bancasi Airport (Butuan Airport) (now RPME)|
RPWG|Dipolog Airport (now RPMG)|
RPWI|Labo Airport (Ozamiz Airport) (now RPMO)|
RPWJ|Jolo Airport (now RPMJ)|
RPWK|Tacurong Airport (now RPMK)|
RPWL|Lumbia Airport (now RPML)|
RPWM|Malabang Airport (now RPMM)|
RPWN|Sanga-Sanga Airport (now RPMN)|
RPWP|Pagadian Airport (now RPMP)|
RPWS|Surigao Airport (now RPMS)|
RPWT|Del Monte Plantation Airstrip (now RPMT)|
RPWW|Tandag Airport (now RPMW)|
RPWX|Maria Cristina Airport (now RPMI)|
RPWY|Malaybalay Airport (now RPMY)|
RPWZ|Bislig Airport (now RPMF)|
RPXC|Crow Valley Gunnery Range (now RPLQ)|
RPXI|Itbayat Airport (now RPLT)|
RPXJ|Jomalig Airport (now RPLJ)|
RPXG|Lubang Airport (now RPLU)|
RPXM|Fort Magsaysay Airfield (now RPLV)|
RPXP|Wallace Air Station (Poro Point) (reassigned RPLW|now also obsolete
RPXR|Kindley Landing Field (Corregidor) (now RPLX)|
RPXT|Alabat Airport (now RPLY)|
RPXU|Sorsogon Airport (now RPLZ)|
SAAC|Comodoro J.J. Pierrestegui Airport|Concordia, Entre Ríos Province
SAAG|Gualeguaychú Airport|Gualeguaychú, Entre Ríos Province
SAAJ|Junín Airport|Junín, Buenos Aires Province
SAAK|Martín García Island Airport|Isla Martín García, Buenos Aires Province
SAAP|General Justo José de Urquiza Airport|Paraná, Entre Ríos Province
SAAR|Rosario - Islas Malvinas International Airport|Rosario, Santa Fe Province
SAAV|Sauce Viejo Airport|Santa Fe, Santa Fe Province
SABA|Buenos Aires Airport|Buenos Aires
SABE|Jorge Newbery Airport|Buenos Aires
SACC|La Cumbre Airport|La Cumbre, Córdoba Province
SACO|Ingeniero Ambrosio L.V. Taravella International Airport|Córdoba, Córdoba Province
SACP|Chepes Airport|Chepes, La Rioja Province
SADD|Don Torcuato Aerodrome|Don Torcuato, Buenos Aires Province
SADF|San Fernando Airport|San Fernando, Buenos Aires Province
SADL|La Plata Airport|La Plata, Buenos Aires Province
SADM|Morón Airport and Air Base|Morón, Buenos Aires Province
SADP|El Palomar Airport|El Palomar
SAEZ|Ministro Pistarini International Airport (Ezeiza International Airport)|Ezeiza, Buenos Aires Province
SAHE|Caviahue Airport|Caviahue, Neuquén Province
SAHS|Rincón de los Sauces Airport|Rincón de los Sauces, Neuquén Province
SAHZ|Zapala Airport|Zapala, Neuquén Province
SAME|Governor Francisco Gabrielli International Airport (El Plumerillo Int'l)|Mendoza, Mendoza Province
SAMM|Comodoro D. Ricardo Salomón Airport|Malargüe, Mendoza Province
SAMR|San Rafael Airport|San Rafael, Mendoza Province
SANC|Coronel Felipe Varela Airport|Catamarca, Catamarca Province
SANE|Vicecomodoro Ángel de la Paz Aragonés Airport|Santiago del Estero, Santiago del Estero Province
SANH|Las Termas Airport|Termas de Río Hondo, Santiago del Estero Province
SANL|Capitán Vicente Almandos Almonacid Airport|La Rioja, La Rioja Province
SANO|Chilecito Airport|Chilecito, La Rioja Province
SANT|Tte. Gral. Benjamín Matienzo International Airport (Lt. Gen. Benjamín Matienzo)|Tucumán, Tucumán Province
SANU|Domingo Faustino Sarmiento Airport|San Juan, San Juan Province
SANW|Ceres Airport|Ceres, Santa Fe Province
SAOC|Las Higueras Airport|Río Cuarto, Córdoba Province
SAOD|Villa Dolores Airport|Villa Dolores, Córdoba Province
SAOR|Villa Reynolds Airport|Villa Reynolds, San Luis Province
SAOU|San Luis Airport|San Luis, San Luis Province
SARC|Doctor Fernando Piragine Niveyro International Airport|Corrientes, Corrientes Province
SARE|Resistencia International Airport|Resistencia, Chaco Province
SARF|Formosa International Airport|Formosa, Formosa Province
SARI|Cataratas del Iguazú International Airport (Iguazú Falls)|Puerto Iguazú, Misiones Province
SARL|Paso de los Libres Airport|Paso de los Libres, Corrientes Province
SARM|Monte Caseros Airport|Monte Caseros, Corrientes Province
SARP|Libertador General José de San Martín Airport|Posadas, Misiones Province
SASA|Martín Miguel de Güemes International Airport (El Aybal Airport)|Salta, Salta Province
SASJ|Gobernador Horacio Guzmán International Airport|San Salvador de Jujuy, Jujuy Province
SASO|Orán Airport|Orán, Salta Province
SAST|General Enrique Mosconi Airport|Tartagal, Salta Province
SATC|Clorinda Airport|Clorinda, Formosa Province
SATG|Goya Airport|Goya, Corrientes Province
SATK|Alférez Armando Rodríguez Airport|Las Lomitas, Formosa Province
SATM|Mercedes Airport|Mercedes, Corrientes Province
SATR|Daniel Jurkic Airport|Reconquista, Santa Fe Province
SATU|Curuzú Cuatiá Airport|Curuzú Cuatiá, Corrientes Province
SAVB|El Bolsón Airport|El Bolsón, Río Negro Province
SAVC|General Enrique Mosconi Airport|Comodoro Rivadavia, Chubut Province
SAVD|El Maitén Airport|El Maitén, Chubut Province
SAVE|Esquel Airport|Esquel, Chubut Province
SAVH|Las Heras Airport|Las Heras, Santa Cruz Province
SAVN|San Antonio Oeste Airport (Antoine de Saint Exupéry Airport)|San Antonio Oeste, Río Negro Province
SAVR|Alto Río Senguer Airport|Alto Río Senguer, Chubut Province
SAVS|Sierra Grande Airport|Sierra Grande, Río Negro Province
SAVT|Almirante Marco Andrés Zar Airport|Trelew, Chubut Province
SAVV|Gobernador Edgardo Castello Airport|Viedma, Río Negro Province
SAVY|El Tehuelche Airport|Puerto Madryn, Chubut Province
SAWC|Comandante Armando Tola International Airport|El Calafate, Santa Cruz Province
SAWD|Puerto Deseado Airport|Puerto Deseado, Santa Cruz Province
SAWE|Hermes Quijada International Airport|Río Grande, Tierra del Fuego Province
SAWG|Piloto Civil Norberto Fernández International Airport|Río Gallegos, Santa Cruz Province
SAWH|Ushuaia - Malvinas Argentinas International Airport|Ushuaia, Tierra del Fuego Province
SAWJ|Cap D Jose D Vazquez Airport|San Julián, Santa Cruz Province
SAWM|Río Mayo Airport|Río Mayo, Chubut Province
SAWP|Perito Moreno Airport|Perito Moreno, Santa Cruz Province
SAWR|Gobernador Gregores Airport|Gobernador Gregores, Santa Cruz Province
SAWS|José de San Martín Airport|José de San Martín, Chubut Province
SAWT|El Turbio Airport|Río Turbio, Santa Cruz Province
SAWU|Santa Cruz Airport|Santa Cruz, Santa Cruz Province
SAZA|Azul Airport|Azul, Buenos Aires Province
SAZB|Comandante Espora Airport|Bahía Blanca, Buenos Aires Province
SAZG|General Pico Airport|General Pico, La Pampa Province
SAZH|Tres Arroyos Airport|Tres Arroyos, Buenos Aires Province
SAZI|Bolivar Airport|Bolívar, Buenos Aires Province
SAZL|Santa Teresita Airport|Santa Teresita, Buenos Aires Province
SAZM|Ástor Piazzola International Airport|Mar del Plata, Buenos Aires Province
SAZN|Presidente Perón International Airport|Neuquén, Neuquén Province
SAZO|Necochea Airport|Necochea, Buenos Aires Province
SAZP|Comodoro P. Zanni Airport|Pehuajó, Buenos Aires Province
SAZR|Santa Rosa Airport|Santa Rosa, La Pampa Province
SAZS|San Carlos de Bariloche International Airport|San Carlos de Bariloche, Río Negro Province
SAZT|Tandil Airport|Tandil, Buenos Aires Province
SAZV|Villa Gesell Airport|Villa Gesell, Buenos Aires Province
SAZW|Cutral Có Airport|Cutral Có, Neuquén Province
SAZY|Aviador Carlos Campos Airport (Chapelco Airport)|San Martín de los Andes, Neuquén Province
SBAA|Conceicao do Araguaia Airport|Conceição do Araguaia, Pará
SBAN|Anápolis Air Base|Anápolis, Goiás
SBAQ|Araraquara Airport|Araraquara, São Paulo
SBAR|Santa Maria Airport|Aracaju, Sergipe
SBAS|Assis Airport|Assis, São Paulo
SBAT|Alta Floresta Airport|Alta Floresta, Mato Grosso
SBAU|Araçatuba Airport|Araçatuba, São Paulo
SBBE|Val de Cães International Airport|Belém, Pará
SBBG|Comandante Gustavo Kraemer Airport|Bagé, Rio Grande do Sul
SBBH|Pampulha Domestic Airport|Belo Horizonte, Minas Gerais
SBBI|Bacacheri Airport|Curitiba, Paraná
SBBQ|Barbacena Airport|Barbacena, Minas Gerais
SBBR|Presidente Juscelino Kubitschek International Airport|Brasília, Brazilian Federal District
SBBT|Chafei Amsei Airport|Barretos, São Paulo
SBBU|Bauru Airport|Bauru, São Paulo
SBBV|Boa Vista International Airport|Boa Vista, Roraima
SBBW|Barra do Garças Airport|Barra do Garças, Mato Grosso
SBBZ|Umberto Modiano Airport|Búzios, Rio de Janeiro
SBCA|Cascavel Airport|Cascavel, Paraná
SBCB|Cabo Frio International Airport|Cabo Frio, Rio de Janeiro
SBCC|Cachimbo Airport|Itaituba, Pará
SBCF|Tancredo Neves International Airport|Belo Horizonte, Minas Gerais
SBCG|Campo Grande International Airport|Campo Grande, Mato Grosso do Sul
SBCH|Chapecó Airport|Chapecó, Santa Catarina
SBCI|Carolina Airport|Carolina, Maranhão
SBCJ|Carajás Airport|Carajás, Pará
SBCM|Forquinhinha Airport|Criciúma, Santa Catarina
SBCO|Canoas Air Base|Porto Alegre, Rio Grande do Sul
SBCP|Bartolomeu Lisandro Airport|Campos, Rio de Janeiro
SBCR|Corumbá International Airport|Corumbá, Mato Grosso do Sul
SBCT|Afonso Pena International Airport|Curitiba, Paraná
SBCV|Caravelas Airport|Caravelas, Bahia
SBCX|Campo dos Bugres Airport|Caxias do Sul, Rio Grande do Sul
SBCY|Marechal Rondon Airport|Cuiabá, Mato Grosso
SBCZ|Cruzeiro do Sul International Airport|Cruzeiro do Sul, Acre
SBDN|Presidente Prudente Airport|Presidente Prudente, São Paulo
SBEG|Eduardo Gomes International Airport|Manaus, Amazonas
SBEK|Jacare-Acanga Airport|Jacareacanga, Pará
SBEX|Erechim Airport|Erechim, Rio Grande do Sul
SBFI|Foz do Iguaçu International Airport (Cataratas Int'l)|Foz do Iguaçu, Paraná
SBFL|Hercilio Luz International Airport|Florianópolis, Santa Catarina
SBFN|Fernando de Noronha Airport|Fernando de Noronha, Pernambuco
SBFZ|Pinto Martins International Airport|Fortaleza, Ceará
SBGL|Rio de Janeiro-Galeão International Airport|Rio de Janeiro, Rio de Janeiro
SBGM|Guajará-Mirim Airport|Guajará-Mirim, Rondônia
SBGO|Santa Genoveva Airport|Goiânia, Goiás
SBGP|Embraer Unidade Gavião Peixoto Airport|Gavião Peixoto, São Paulo
SBGR|São Paulo-Guarulhos International Airport|São Paulo, São Paulo
SBGS|Ponta Grossa Airport|Ponta Grossa, Paraná
SBGW|Guaratinguetá Airport|Guaratinguetá, São Paulo
SBHT|Altamira Airport|Altamira, Pará
SBIC|Itacoatiara Airport|Itacoatiara, Amazonas
SBIH|Itaituba Airport|Itaituba, Pará
SBIL|Ilhéus Jorge Amado Airport|Ilhéus, Bahia
SBIP|Usiminas Airport|Ipatinga, Minas Gerais
SBIZ|Prefeito Renato Moreira Airport|Imperatriz, Maranhão
SBJF|Francisco de Assis Airport|Juiz de Fora, Minas Gerais
SBJP|Presidente Castro Pinto International Airport|João Pessoa, Paraíba
SBJR ()|Jacarepaguá Airport|Rio de Janeiro, Rio de Janeiro
SBJV|Joinville-Lauro Carneiro de Loyola Airport|Joinville, Santa Catarina
SBKG|Joao Suassuna Airport|Campina Grande, Paraíba
SBKP|Viracopos International Airport|Campinas, São Paulo
SBLB|Lábrea Airport|Lábrea, Amazonas
SBLJ|Lages Airport|Lages, Santa Catarina
SBLN|Lins Airport|Lins, São Paulo
SBLO|Londrina Airport|Londrina, Paraná
SBLP|Bom Jesus da Lapa Airport|Bom Jesus da Lapa, Bahia
SBMA|Marabá Airport|Marabá, Pará
SBMC|Minaçu Airport|Minaçu, Goiás
SBMD|Monte Dourado Airport|Monte Dourado, Pará
SBME|Macaé Airport|Macaé, Rio de Janeiro
