Siebel Enterprise Applications Siebel Server Manager, Version 8.1.1.7 [21238] LANG_INDEPENDENT 
Copyright (c) 1990-2008, Oracle. All rights reserved.

The Programs (which include both the software and documentation) contain
proprietary information; they are provided under a license agreement containing
restrictions on use and disclosure and are also protected by copyright, patent,
and other intellectual and industrial property laws. Reverse engineering,
disassembly, or decompilation of the Programs, except to the extent required to
obtain interoperability with other independently created software or as specified
by law, is prohibited.

Oracle, JD Edwards, PeopleSoft, and Siebel are registered trademarks of
Oracle Corporation and/or its affiliates. Other names may be trademarks
of their respective owners.

If you have received this software in error, please notify Oracle Corporation
immediately at 1.800.ORACLE1.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 3 server(s) out of a total of 3 server(s) in the enterprise

srvrmgr> load preferences
File: /foo_22/siebel/81/siebsrvr/bin/.Siebel_svrmgr.pref

srvrmgr> list comp types

CT_NAME                                                                       CT_RUNMODE                       CT_ALIAS                                                       CT_DESC_TEXT                                                                                                                                                                                                                                                 
foobar_svp5  SRProc     SystemAux  4194312            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRProc     SystemAux  4194309            Ejecutando        FALSE                                                      Forwarding Task                                                      
foobar_svp5  SRBroker   System     2097170            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097167            Ejecutando        FALSE                                                      SRVR:foobar_sv023                                                    
foobar_svp5  SRBroker   System     2097166            Ejecutando        FALSE                                                      SRVR:foobar_sv022                                                    
foobar_svp5  SRBroker   System     2097165            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097163            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097162            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097160            Ejecutando        FALSE                                                      Response task                                                        
foobar_svp5  SRBroker   System     2097159            Ejecutando        FALSE                                                      Store task                                                           
foobar_svp5  SRBroker   System     2097158            Ejecutando        FALSE                                                      Task creation task                                                   
foobar_svp5  SRBroker   System     2097157            Ejecutando        FALSE                                                      Information caching task                                             
foobar_sv022  ServerMgr  System     25165827           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     24117251           Finalizado        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     23068675           Finalizado        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     22020099           Finalizado        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     20971523           Finalizado        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     19922947           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     18874371           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     17825795           Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRProc     SystemAux  6291464            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRProc     SystemAux  6291461            Ejecutando        FALSE                                                      Forwarding Task                                                      
foobar_sv022  SRBroker   System     3145750            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145749            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145748            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145747            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145746            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145745            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145744            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145743            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145742            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145740            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145739            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145738            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145736            Ejecutando        FALSE                                                      Response task                                                        
foobar_sv022  SRBroker   System     3145735            Ejecutando        FALSE                                                      Store task                                                           
foobar_sv022  SRBroker   System     3145734            Ejecutando        FALSE                                                      Task creation task                                                   
foobar_sv022  SRBroker   System     3145733            Ejecutando        FALSE                                                      Information caching task                                             
foobar_sv023  ServerMgr  System     224395267          Ejecutando        FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     223346691          Finalizado        FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     222298115          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     221249539          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     220200963          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     219152387          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     218103811          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     217055235          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     216006659          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     214958083          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     213909507          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     212860931          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     211812355          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     210763779          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     209715203          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     208666627          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     207618051          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     206569474          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     205520899          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     204472323          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     203423747          Salida con error  FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     51380227           Ejecutando        FALSE                                                                                                                           
foobar_sv023  eCommunicationsObjMgr_esn  Communications  50331668           Finalizado        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  50331665           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  50331661           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  50331658           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  49283088           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  49283085           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  49283082           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  48234516           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  48234513           Finalizado        FALSE                                       Shared Connection Id:   sadmin                                                               
foobar_sv023  eCommunicationsObjMgr_esn  Communications  48234509           Finalizado        FALSE                                       Shared Connection Id:   OCSADMIN                                                             
foobar_sv023  eCommunicationsObjMgr_esn  Communications  48234506           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185945           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185942           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185939           Finalizado        FALSE                                       Shared Connection Id: , Transac  FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185936           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185933           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137364           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137361           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137354           Ejecutando        FALSE                                       Shared Connection Id:   sadmin                                                               
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991657           Ejecutando        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991654           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991651           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991648           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991645           Finalizado        FALSE                                       Shared Connection Id: , Transac  FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991642           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991639           Finalizado        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991636           Finalizado        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991633           Finalizado        FALSE                                       Shared Connection Id: , Transac  FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991630           Finalizado        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991626           Finalizado        FALSE                                       Shared Connection Id:   sadmin                                                               
foobar_sv023  EAIObjMgr_esn  EAI        30409287           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409284           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409281           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409278           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409275           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409272           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409269           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409266           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409263           Finalizado        FALSE                                       Shared Connection Id: , Transac  INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409260           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409257           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409254           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409251           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409248           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409245           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409242           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409239           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        30409236           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        29360282           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        28311694           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        28311691           Finalizado        FALSE                                       Shared Connection Id:   INT_USER                                                             
foobar_sv023  EAIObjMgr_esn  EAI        28311592           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   INT_USER                                                             
foobar_sv023  SRProc     SystemAux  6291464            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRProc     SystemAux  6291461            Ejecutando        FALSE                                                      Forwarding Task                                                      
foobar_sv023  SRBroker   System     3145787            Ejecutando        FALSE                                                      SRVR:foobar_svp5                                                     
foobar_sv023  SRBroker   System     3145786            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145785            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145783            Ejecutando        FALSE                                                      COMP:FSMSrvr                                                         
foobar_sv023  SRBroker   System     3145781            Ejecutando        FALSE                                                      COMP:WfProcMgr                                                       
foobar_sv023  SRBroker   System     3145779            Ejecutando        FALSE                                                      SRVR:foobar_sv022                                                    
foobar_sv023  SRBroker   System     3145778            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145777            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145776            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145775            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145774            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145773            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145772            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145771            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145770            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145769            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145768            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145767            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145766            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145765            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145764            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145763            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145762            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145761            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145760            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145759            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145758            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145757            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145756            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145755            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145754            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145753            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145752            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145751            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145750            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145749            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145748            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145747            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145746            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145745            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145744            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145743            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145742            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145741            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145739            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145738            Ejecutando        FALSE                                                                                                                           
foobar_sv023  SRBroker   System     3145736            Ejecutando        FALSE                                                      Store task                                                           
foobar_sv023  SRBroker   System     3145735            Ejecutando        FALSE                                                      Response task                                                        
foobar_sv023  SRBroker   System     3145734            Ejecutando        FALSE                                                      Task creation task                                                   
foobar_sv023  SRBroker   System     3145733            Ejecutando        FALSE                                                      Information caching task                                             

168 rows returned.

srvrmgr> list active sessions

SV_NAME      CC_ALIAS   CG_ALIAS   TK_TASKID  TK_PID  TK_DISP_RUNSTATE  TK_IDLE_STATE  TK_PING_TIME  TK_HUNG_STATE  DB_SESSION_ID  OM_LOGIN                  OM_BUSSVC  OM_VIEW  OM_APPLET  OM_BUSCOMP  
-----------  ---------  ---------  ---------  ------  ----------------  -------------  ------------  -------------  -------------  ------------------------  ---------  -------  ---------  ----------  
foobar_svp5  ServerMgr  System     11534339           Ejecutando        FALSE                                                                                                                           
foobar_svp5  ServerMgr  System     8388610            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRProc     SystemAux  4194312            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRProc     SystemAux  4194309            Ejecutando        FALSE                                                      Forwarding Task                                                      
foobar_svp5  SRBroker   System     2097170            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097167            Ejecutando        FALSE                                                      SRVR:foobar_sv023                                                    
foobar_svp5  SRBroker   System     2097166            Ejecutando        FALSE                                                      SRVR:foobar_sv022                                                    
foobar_svp5  SRBroker   System     2097165            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097163            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097162            Ejecutando        FALSE                                                                                                                           
foobar_svp5  SRBroker   System     2097160            Ejecutando        FALSE                                                      Response task                                                        
foobar_svp5  SRBroker   System     2097159            Ejecutando        FALSE                                                      Store task                                                           
foobar_svp5  SRBroker   System     2097158            Ejecutando        FALSE                                                      Task creation task                                                   
foobar_svp5  SRBroker   System     2097157            Ejecutando        FALSE                                                      Information caching task                                             
foobar_sv022  ServerMgr  System     25165827           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     19922947           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     18874371           Ejecutando        FALSE                                                                                                                           
foobar_sv022  ServerMgr  System     17825795           Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRProc     SystemAux  6291464            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRProc     SystemAux  6291461            Ejecutando        FALSE                                                      Forwarding Task                                                      
foobar_sv022  SRBroker   System     3145750            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145749            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145748            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145747            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145746            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145745            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145744            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145743            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145742            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145740            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145739            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145738            Ejecutando        FALSE                                                                                                                           
foobar_sv022  SRBroker   System     3145736            Ejecutando        FALSE                                                      Response task                                                        
foobar_sv022  SRBroker   System     3145735            Ejecutando        FALSE                                                      Store task                                                           
foobar_sv022  SRBroker   System     3145734            Ejecutando        FALSE                                                      Task creation task                                                   
foobar_sv022  SRBroker   System     3145733            Ejecutando        FALSE                                                      Information caching task                                             
foobar_sv023  ServerMgr  System     224395267          Ejecutando        FALSE                                                                                                                           
foobar_sv023  ServerMgr  System     51380227           Ejecutando        FALSE                                                                                                                           
foobar_sv023  eCommunicationsObjMgr_esn  Communications  50331661           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  49283088           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  49283085           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  48234516           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  47185945           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137364           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137361           Ejecutando        FALSE                                       Shared Connection Id: , Transaction Connection Id:   FISH_TESTING                                                         
foobar_sv023  eCommunicationsObjMgr_esn  Communications  46137354           Ejecutando        FALSE                                       Shared Connection Id:   sadmin                                                               
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991657           Ejecutando        FALSE                                       Shared Connection Id:   sblanon                                                              
foobar_sv023  eCommunicationsObjMgr_esn  Communications  42991654           Ejecutando        FALSE                                       Shared Connection Id:   FISH_TESTING                                                         
